          Index             Ts             Tr          Value
                          [°C]           [°C]           [mW]
            582            0.0            122        -2.0072
            583            0.0        122.167       -2.00663
            584            0.0        122.333        -2.0058
            585            0.0          122.5       -2.00509
            586            0.0        122.667       -2.00452
            587            0.0        122.833       -2.00348
            588            0.0            123       -2.00246
            589            0.0        123.167       -2.00248
            590            0.0        123.333       -2.00335
            591            0.0          123.5       -2.00479
            592            0.0        123.667       -2.00571
            593            0.0        123.833       -2.00662
            594            0.0            124       -2.00754
            595            0.0        124.167       -2.00838
            596            0.0        124.333       -2.00921
            597            0.0          124.5       -2.01002
            598            0.0        124.667       -2.01082
            599            0.0        124.833       -2.01152
            600            0.0            125       -2.01228
            601            0.0        125.167       -2.01303
            602            0.0        125.333       -2.01377
            603            0.0          125.5       -2.01456
            604            0.0        125.667       -2.01533
            605            0.0        125.833       -2.01608
            606            0.0            126       -2.01682
            607            0.0        126.167       -2.01759
            608            0.0        126.333       -2.01838
            609            0.0          126.5       -2.01917
            610            0.0        126.667       -2.01998
            611            0.0        126.833       -2.02084
            612            0.0            127       -2.02168
            613            0.0        127.167       -2.02248
            614            0.0        127.333       -2.02324
            615            0.0          127.5       -2.02391
            616            0.0        127.667       -2.02456
            617            0.0        127.833       -2.02518
            618            0.0            128       -2.02573
            619            0.0        128.167       -2.02608
            620            0.0        128.333       -2.02655
            621            0.0          128.5       -2.02707
            622            0.0        128.667        -2.0276
            623            0.0        128.833       -2.02816
            624            0.0            129       -2.02879
            625            0.0        129.167       -2.02948
            626            0.0        129.333       -2.03024
            627            0.0          129.5       -2.03126
            628            0.0        129.667       -2.03225
            629            0.0        129.833       -2.03327
            630            0.0            130       -2.03433
            631            0.0        130.167       -2.03543
            632            0.0        130.333       -2.03668
            633            0.0          130.5       -2.03781
            634            0.0        130.667       -2.03891
            635            0.0        130.833       -2.04002
            636            0.0            131       -2.04105
            637            0.0        131.167       -2.04204
            638            0.0        131.333       -2.04301
            639            0.0          131.5       -2.04397
            640            0.0        131.667       -2.04482
            641            0.0        131.833       -2.04569
            642            0.0            132       -2.04654
            643            0.0        132.167       -2.04737
            644            0.0        132.333       -2.04811
            645            0.0          132.5       -2.04885
            646            0.0        132.667       -2.04959
            647            0.0        132.833       -2.05034
            648            0.0            133       -2.05108
            649            0.0        133.167       -2.05188
            650            0.0        133.333       -2.05272
            651            0.0          133.5       -2.05357
            652            0.0        133.667       -2.05458
            653            0.0        133.833       -2.05553
            654            0.0            134       -2.05648
            655            0.0        134.167       -2.05744
            656            0.0        134.333       -2.05846
            657            0.0          134.5       -2.05948
            658            0.0        134.667       -2.06052
            659            0.0        134.833       -2.06155
            660            0.0            135       -2.06253
            661            0.0        135.167       -2.06348
            662            0.0        135.333       -2.06445
            663            0.0          135.5       -2.06544
            664            0.0        135.667       -2.06635
            665            0.0        135.833       -2.06729
            666            0.0            136       -2.06817
            667            0.0        136.167       -2.06901
            668            0.0        136.333       -2.06983
            669            0.0          136.5       -2.07067
            670            0.0        136.667       -2.07156
            671            0.0        136.833       -2.07245
            672            0.0            137       -2.07333
            673            0.0        137.167        -2.0743
